onset	duration	acc	condition
0	0	1	NULL
2.013	0	1	Mask
4.013	0	1	TSA
6.013	0	1	Mask
8.013	0	1	TSW
10.013	0	1	TSA
12.013	0	1	Word2
14.013	0	1	TSW
16.013	0	1	NULL
18.026	0	1	TSW
20.026	0	1	NULL
30.039	0	1	TSA
32.039	0	1	NULL
36.052	0	1	TSA
38.052	0	1	NULL
46.065	0	1	RS
48.065	0	0	Word1
50.065	0	1	NULL
52.079	0	1	TSW
54.079	0	1	RS
56.079	0	1	NULL
58.092	0	1	Word2
60.092	0	1	Word1
62.092	0	1	Word2
64.092	0	1	Word2
66.092	0	1	NULL
68.105	0	1	Word2
70.105	0	1	RS
72.105	0	1	NULL
80.118	0	1	TSA
82.118	0	1	TSW
84.118	0	1	NULL
86.131	0	1	Mask
88.131	0	1	NULL
90.145	0	1	Word2
92.144	0	1	Word1
94.144	0	1	NULL
100.158	0	1	Word2
102.158	0	1	RS
104.158	0	1	NULL
110.171	0	1	Word1
112.171	0	1	TSW
114.171	0	1	RS
116.171	0	1	NULL
118.184	0	1	RS
120.184	0	1	NULL
126.197	0	1	TSW
128.197	0	0	Word1
130.197	0	1	NULL
132.21	0	1	TSA
134.21	0	1	NULL
136.223	0	1	Word2
138.223	0	1	NULL
140.237	0	1	TSW
142.237	0	1	Mask
144.237	0	1	NULL
146.25	0	1	Mask
148.25	0	1	NULL
154.263	0	1	Mask
156.263	0	1	NULL
162.276	0	1	Word1
164.276	0	1	RS
166.276	0	1	NULL
168.289	0	1	Mask
170.289	0	1	TSA
172.289	0	1	NULL
174.303	0	1	Mask
176.303	0	1	Mask
178.303	0	1	NULL
180.316	0	1	RS
182.316	0	1	NULL
184.329	0	1	RS
186.329	0	1	NULL
188.342	0	1	Word1
190.342	0	1	NULL
194.355	0	1	Mask
196.355	0	1	TSA
198.355	0	1	NULL
204.369	0	1	Mask
206.369	0	1	NULL
210.382	0	1	TSW
212.382	0	1	TSA
214.382	0	1	NULL
218.395	0	1	TSA
220.395	0	1	NULL
222.408	0	1	RS
224.408	0	1	NULL
226.421	0	1	Word1
228.421	0	1	NULL
230.435	0	1	Word1
232.435	0	1	Word2
234.435	0	1	NULL
238.448	0	1	Word1
240.448	0	1	NULL
244.461	0	1	TSA
246.461	0	1	RS
248.461	0	0	TSW
250.461	0	1	NULL
256.474	0	1	Word2
258.474	0	1	NULL
264.487	0	1	RS
266.487	0	1	Word1
268.487	0	1	Mask
270.487	0	1	NULL
280.5	0	1	RS
282.5	0	1	TSW
284.5	0	1	Word2
286.5	0	1	NULL
292.513	0	1	RS
294.513	0	1	NULL
296.527	0	1	TSW
298.526	0	1	NULL
310.54	0	1	TSW
312.539	0	1	NULL
314.553	0	1	Word1
316.553	0	0	Word2
318.553	0	1	RS
320.553	0	1	Word2
322.553	0	1	NULL
324.566	0	1	RS
326.566	0	1	RS
328.566	0	1	NULL
334.579	0	1	TSA
336.579	0	1	Word1
338.579	0	1	NULL
342.592	0	1	Word2
344.592	0	1	Word1
346.592	0	1	TSW
348.592	0	1	NULL
350.605	0	1	Word1
352.605	0	1	Word2
354.605	0	1	Word1
356.605	0	1	TSA
358.605	0	1	NULL
360.618	0	1	Word1
362.618	0	1	TSW
364.618	0	1	NULL
366.632	0	1	TSA
368.632	0	1	NULL
376.645	0	1	TSW
378.645	0	1	TSA
380.645	0	1	Mask
382.645	0	1	NULL
384.658	0	1	Mask
386.658	0	1	NULL
390.671	0	1	TSA
392.671	0	1	Mask
394.671	0	1	RS
396.671	0	0	TSW
398.671	0	1	NULL
406.684	0	1	RS
408.684	0	1	NULL
410.697	0	1	Word2
412.697	0	1	NULL
414.71	0	1	Mask
416.71	0	1	TSW
418.71	0	1	NULL
424.724	0	1	Mask
426.724	0	1	Mask
428.724	0	1	Word1
430.723	0	1	Mask
432.723	0	1	Word2
434.723	0	1	NULL
436.737	0	1	TSA
438.737	0	1	TSA
440.737	0	1	NULL
444.75	0	0	Word1
446.75	0	1	NULL
454.763	0	0	Word2
456.763	0	1	NULL
462.776	0	1	TSA
464.776	0	1	Mask
466.776	0	1	TSA
468.776	0	1	Word2
470.776	0	1	TSW
472.776	0	1	NULL
478.789	0	1	Word2
480.789	0	1	NULL
488.802	0	1	RS
490.802	0	1	NULL
492.815	0	0	Word1
494.815	0	1	NULL
498.829	0	1	TSW
