onset	duration	acc	condition
0	0	1	NULL
2.013	0	1	Mask
4.013	0	1	TSA
6.013	0	1	Mask
8.013	0	1	TSW
10.013	0	0	TSA
12.013	0	1	Word2
14.013	0	0	TSW
16.013	0	1	NULL
18.026	0	1	TSW
20.026	0	1	NULL
30.039	0	1	TSA
32.039	0	1	NULL
36.052	0	1	TSA
38.052	0	1	NULL
46.065	0	1	RS
48.065	0	0	Word1
50.065	0	1	NULL
52.078	0	1	TSW
54.078	0	1	RS
56.078	0	1	NULL
58.092	0	1	Word2
60.091	0	0	Word1
62.091	0	1	Word2
64.091	0	1	Word2
66.091	0	1	NULL
68.105	0	1	Word2
70.105	0	1	RS
72.104	0	1	NULL
80.118	0	1	TSA
82.118	0	1	TSW
84.117	0	1	NULL
86.131	0	1	Mask
88.131	0	1	NULL
90.144	0	1	Word2
92.144	0	0	Word1
94.144	0	1	NULL
100.157	0	1	Word2
102.157	0	1	RS
104.157	0	1	NULL
110.17	0	0	Word1
112.17	0	1	TSW
114.17	0	1	RS
116.17	0	1	NULL
118.183	0	1	RS
120.183	0	1	NULL
126.196	0	1	TSW
128.196	0	0	Word1
130.196	0	1	NULL
132.21	0	1	TSA
134.21	0	1	NULL
136.223	0	1	Word2
138.223	0	1	NULL
140.236	0	1	TSW
142.236	0	1	Mask
144.236	0	1	NULL
146.249	0	1	Mask
148.249	0	1	NULL
154.262	0	1	Mask
156.262	0	1	NULL
162.275	0	1	Word1
164.275	0	1	RS
166.275	0	1	NULL
168.289	0	1	Mask
170.289	0	1	TSA
172.289	0	1	NULL
174.302	0	1	Mask
176.302	0	1	Mask
178.302	0	1	NULL
180.315	0	1	RS
182.315	0	1	NULL
184.328	0	1	RS
186.328	0	1	NULL
188.341	0	1	Word1
190.341	0	1	NULL
194.355	0	1	Mask
196.355	0	1	TSA
198.355	0	1	NULL
204.368	0	1	Mask
206.368	0	1	NULL
210.381	0	1	TSW
212.381	0	1	TSA
214.381	0	1	NULL
218.394	0	1	TSA
220.394	0	1	NULL
222.407	0	1	RS
224.407	0	1	NULL
226.42	0	1	Word1
228.42	0	1	NULL
230.434	0	1	Word1
232.434	0	0	Word2
234.434	0	1	NULL
238.447	0	0	Word1
240.447	0	1	NULL
244.46	0	0	TSA
246.473	0	0	RS
248.487	0	1	TSW
250.487	0	1	NULL
256.5	0	1	Word2
258.5	0	1	NULL
264.513	0	1	RS
266.513	0	1	Word1
268.513	0	1	Mask
270.513	0	1	NULL
280.526	0	1	RS
282.526	0	1	TSW
284.526	0	1	Word2
286.526	0	1	NULL
292.539	0	1	RS
294.539	0	1	NULL
296.552	0	1	TSW
298.552	0	1	NULL
310.565	0	1	TSW
312.565	0	1	NULL
314.578	0	1	Word1
316.578	0	1	Word2
318.578	0	1	RS
320.578	0	1	Word2
322.578	0	1	NULL
324.591	0	1	RS
326.591	0	0	RS
328.591	0	1	NULL
334.604	0	1	TSA
336.604	0	1	Word1
338.604	0	1	NULL
342.617	0	1	Word2
344.617	0	1	Word1
346.617	0	1	TSW
348.617	0	1	NULL
350.631	0	1	Word1
352.631	0	1	Word2
354.631	0	1	Word1
356.63	0	1	TSA
358.63	0	1	NULL
360.644	0	1	Word1
362.644	0	1	TSW
364.644	0	1	NULL
366.657	0	1	TSA
368.657	0	1	NULL
376.67	0	1	TSW
378.67	0	1	TSA
380.67	0	1	Mask
382.67	0	1	NULL
384.683	0	1	Mask
386.683	0	1	NULL
390.696	0	1	TSA
392.696	0	1	Mask
394.696	0	1	RS
396.696	0	0	TSW
398.696	0	1	NULL
406.709	0	1	RS
408.709	0	1	NULL
410.722	0	1	Word2
412.722	0	1	NULL
414.736	0	1	Mask
416.736	0	1	TSW
418.735	0	1	NULL
424.749	0	1	Mask
426.749	0	1	Mask
428.749	0	1	Word1
430.749	0	1	Mask
432.749	0	1	Word2
434.748	0	1	NULL
436.762	0	0	TSA
438.762	0	1	TSA
440.762	0	1	NULL
444.775	0	0	Word1
446.775	0	1	NULL
454.788	0	1	Word2
456.788	0	1	NULL
462.801	0	0	TSA
464.801	0	1	Mask
466.801	0	1	TSA
468.801	0	1	Word2
470.801	0	1	TSW
472.801	0	1	NULL
478.814	0	1	Word2
480.814	0	1	NULL
488.827	0	1	RS
490.827	0	1	NULL
492.84	0	1	Word1
494.84	0	1	NULL
498.853	0	1	TSW
