onset	duration	acc	condition
0	0	1	NULL
2.013	0	1	Mask
4.013	0	1	TSA
6.013	0	1	Mask
8.013	0	1	TSW
10.013	0	1	TSA
12.013	0	1	Word2
14.013	0	1	TSW
16.013	0	1	NULL
18.026	0	1	TSW
20.026	0	1	NULL
30.039	0	1	TSA
32.039	0	1	NULL
36.052	0	1	TSA
38.052	0	1	NULL
46.065	0	1	RS
48.065	0	0	Word1
50.065	0	1	NULL
52.078	0	1	TSW
54.078	0	1	RS
56.078	0	1	NULL
58.092	0	1	Word2
60.091	0	1	Word1
62.091	0	1	Word2
64.091	0	1	Word2
66.091	0	1	NULL
68.105	0	1	Word2
70.105	0	1	RS
72.104	0	1	NULL
80.118	0	1	TSA
82.118	0	1	TSW
84.118	0	1	NULL
86.131	0	1	Mask
88.131	0	1	NULL
90.144	0	1	Word2
92.144	0	1	Word1
94.144	0	1	NULL
100.157	0	0	Word2
102.157	0	1	RS
104.157	0	1	NULL
110.17	0	0	Word1
112.17	0	1	TSW
114.17	0	1	RS
116.17	0	1	NULL
118.183	0	1	RS
120.183	0	1	NULL
126.196	0	0	TSW
128.196	0	0	Word1
130.196	0	1	NULL
132.21	0	1	TSA
134.21	0	1	NULL
136.223	0	0	Word2
138.223	0	1	NULL
140.236	0	1	TSW
142.236	0	1	Mask
144.236	0	1	NULL
146.249	0	0	Mask
148.249	0	1	NULL
154.262	0	1	Mask
156.262	0	1	NULL
162.276	0	1	Word1
164.275	0	1	RS
166.275	0	1	NULL
168.289	0	1	Mask
170.289	0	1	TSA
172.289	0	1	NULL
174.302	0	1	Mask
176.302	0	1	Mask
178.302	0	1	NULL
180.315	0	1	RS
182.315	0	1	NULL
184.328	0	1	RS
186.328	0	1	NULL
188.341	0	1	Word1
190.341	0	1	NULL
194.355	0	1	Mask
196.355	0	1	TSA
198.355	0	1	NULL
204.368	0	1	Mask
206.368	0	1	NULL
210.381	0	1	TSW
212.381	0	1	TSA
214.381	0	1	NULL
218.394	0	1	TSA
220.394	0	1	NULL
222.407	0	1	RS
224.407	0	1	NULL
226.421	0	0	Word1
228.42	0	1	NULL
230.434	0	1	Word1
232.434	0	0	Word2
234.434	0	1	NULL
238.447	0	1	Word1
240.447	0	1	NULL
244.46	0	1	TSA
246.46	0	0	RS
248.46	0	0	TSW
250.46	0	1	NULL
256.473	0	1	Word2
258.473	0	1	NULL
264.486	0	1	RS
266.486	0	1	Word1
268.486	0	1	Mask
270.486	0	1	NULL
280.499	0	1	RS
282.499	0	0	TSW
284.499	0	1	Word2
286.499	0	1	NULL
292.512	0	1	RS
294.512	0	1	NULL
296.525	0	0	TSW
298.525	0	1	NULL
310.538	0	1	TSW
312.538	0	1	NULL
314.552	0	1	Word1
316.552	0	1	Word2
318.551	0	1	RS
320.551	0	1	Word2
322.551	0	1	NULL
324.565	0	1	RS
326.565	0	1	RS
328.565	0	1	NULL
334.578	0	1	TSA
336.578	0	1	Word1
338.578	0	1	NULL
342.591	0	1	Word2
344.591	0	1	Word1
346.591	0	0	TSW
348.591	0	1	NULL
350.604	0	1	Word1
352.604	0	1	Word2
354.604	0	1	Word1
356.604	0	1	TSA
358.604	0	1	NULL
360.617	0	0	Word1
362.63	0	0	TSW
364.63	0	1	NULL
366.644	0	1	TSA
368.643	0	1	NULL
376.657	0	0	TSW
378.657	0	1	TSA
380.657	0	1	Mask
382.656	0	1	NULL
384.67	0	1	Mask
386.67	0	1	NULL
390.683	0	1	TSA
392.683	0	1	Mask
394.683	0	1	RS
396.683	0	1	TSW
398.683	0	1	NULL
406.696	0	1	RS
408.696	0	1	NULL
410.709	0	1	Word2
412.709	0	1	NULL
414.722	0	1	Mask
416.722	0	1	TSW
418.722	0	1	NULL
424.735	0	1	Mask
426.735	0	1	Mask
428.735	0	0	Word1
430.735	0	1	Mask
432.735	0	1	Word2
434.735	0	1	NULL
436.748	0	1	TSA
438.748	0	1	TSA
440.748	0	1	NULL
444.762	0	0	Word1
446.761	0	1	NULL
454.775	0	1	Word2
456.775	0	1	NULL
462.788	0	1	TSA
464.788	0	1	Mask
466.788	0	1	TSA
468.788	0	1	Word2
470.788	0	1	TSW
472.787	0	1	NULL
478.801	0	1	Word2
480.801	0	1	NULL
488.814	0	1	RS
490.814	0	1	NULL
492.827	0	1	Word1
494.827	0	1	NULL
498.84	0	1	TSW
