x 	y	z	roll	pitch	yaw
1.69E-01	-1.31E-01	4.69E-02	2.59E-03	-3.97E-03	3.47E-03
1.65E-01	-1.35E-01	1.35E-02	3.02E-03	-3.86E-03	3.38E-03
1.50E-01	-1.19E-01	-7.98E-03	3.49E-03	-3.95E-03	3.45E-03
1.55E-01	-9.79E-02	-1.66E-02	3.15E-03	-4.06E-03	3.58E-03
1.57E-01	-9.47E-02	5.44E-04	4.05E-03	-3.91E-03	3.48E-03
1.42E-01	-1.03E-01	2.01E-02	3.40E-03	-4.03E-03	3.12E-03
1.63E-01	-1.16E-01	2.98E-03	3.75E-03	-4.63E-03	3.37E-03
1.70E-01	-1.22E-01	1.78E-02	3.67E-03	-4.37E-03	3.49E-03
1.88E-01	-1.34E-01	2.39E-02	4.19E-03	-4.44E-03	3.50E-03
1.92E-01	-1.19E-01	-4.34E-03	4.73E-03	-4.61E-03	3.81E-03
1.78E-01	-6.49E-02	-1.84E-02	3.37E-03	-4.45E-03	3.06E-03
1.97E-01	-1.30E-01	1.07E-02	4.58E-03	-4.63E-03	3.50E-03
2.02E-01	-9.63E-02	-1.35E-03	3.46E-03	-4.56E-03	3.30E-03
1.72E-01	-1.12E-01	-1.60E-02	4.34E-03	-4.88E-03	3.11E-03
1.23E-01	-1.15E-02	-1.08E-01	3.78E-03	-3.19E-03	2.74E-03
1.89E-01	-1.43E-01	-7.11E-02	3.97E-03	-4.37E-03	3.68E-03
1.88E-01	-1.09E-01	-7.94E-02	5.02E-03	-4.68E-03	3.70E-03
1.92E-01	-1.08E-01	-1.02E-01	4.80E-03	-4.08E-03	3.59E-03
2.19E-01	-1.23E-01	-9.04E-02	6.90E-03	-4.70E-03	3.92E-03
2.17E-01	-1.02E-01	-9.48E-02	4.76E-03	-4.15E-03	3.97E-03
2.10E-01	-1.31E-01	-9.92E-02	5.13E-03	-4.30E-03	3.92E-03
2.19E-01	-1.26E-01	-1.08E-01	4.88E-03	-4.23E-03	4.21E-03
2.16E-01	-8.89E-02	-1.24E-01	5.46E-03	-4.40E-03	4.00E-03
2.14E-01	-9.96E-02	-1.26E-01	4.95E-03	-4.50E-03	3.82E-03
2.35E-01	-1.51E-01	-1.37E-01	5.26E-03	-4.15E-03	4.15E-03
2.32E-01	-6.01E-02	-1.53E-01	4.81E-03	-4.03E-03	3.95E-03
2.47E-01	-1.19E-01	-1.28E-01	4.84E-03	-3.84E-03	4.30E-03
2.77E-01	-1.08E-01	-8.08E-02	3.78E-03	-3.63E-03	4.70E-03
3.04E-01	-1.24E-01	-3.01E-02	2.59E-03	-4.29E-03	5.53E-03
2.94E-01	-1.80E-01	-1.35E-01	5.47E-03	-4.63E-03	5.53E-03
3.00E-01	-1.60E-01	-8.04E-02	5.26E-03	-4.09E-03	5.81E-03
2.69E-01	-1.15E-01	-1.23E-01	4.45E-03	-3.78E-03	5.08E-03
2.76E-01	-1.04E-01	-1.10E-01	4.83E-03	-3.61E-03	4.92E-03
2.94E-01	-1.30E-01	-9.69E-02	5.38E-03	-3.44E-03	5.54E-03
2.92E-01	-1.13E-01	-1.15E-01	5.17E-03	-3.65E-03	5.50E-03
2.99E-01	-1.17E-01	-1.91E-01	5.31E-03	-3.58E-03	5.68E-03
2.95E-01	-8.27E-02	-1.68E-01	4.81E-03	-3.59E-03	5.53E-03
3.16E-01	-1.03E-01	-1.61E-01	4.92E-03	-3.37E-03	5.59E-03
3.18E-01	-1.25E-01	-1.46E-01	5.43E-03	-3.54E-03	5.69E-03
3.38E-01	-1.34E-01	-1.47E-01	5.82E-03	-3.36E-03	5.97E-03
3.20E-01	-1.08E-01	-1.47E-01	5.65E-03	-3.80E-03	5.67E-03
3.49E-01	-1.04E-01	-1.36E-01	5.21E-03	-3.47E-03	6.14E-03
3.67E-01	-9.56E-02	-1.66E-01	5.27E-03	-3.51E-03	6.33E-03
3.65E-01	-1.03E-01	-1.66E-01	5.12E-03	-3.18E-03	6.36E-03
3.59E-01	-7.93E-02	-1.54E-01	5.06E-03	-3.02E-03	6.24E-03
3.64E-01	-1.21E-01	-1.53E-01	5.94E-03	-3.72E-03	6.17E-03
3.96E-01	-1.46E-01	-1.54E-01	6.51E-03	-3.65E-03	6.73E-03
4.12E-01	-1.05E-01	-1.48E-01	5.41E-03	-3.43E-03	6.63E-03
3.99E-01	-9.63E-02	-1.56E-01	5.47E-03	-3.59E-03	6.76E-03
4.02E-01	-9.17E-02	-1.57E-01	5.14E-03	-3.21E-03	6.69E-03
4.07E-01	-1.17E-01	-1.65E-01	5.77E-03	-3.15E-03	6.80E-03
4.12E-01	-1.11E-01	-1.75E-01	5.41E-03	-2.41E-03	7.06E-03
4.08E-01	-5.40E-02	-1.99E-01	5.56E-03	-3.07E-03	6.86E-03
4.10E-01	-1.28E-01	-2.13E-01	6.24E-03	-3.17E-03	6.89E-03
4.25E-01	-1.11E-01	-1.94E-01	5.80E-03	-2.85E-03	7.12E-03
4.19E-01	-7.48E-02	-2.20E-01	5.70E-03	-2.64E-03	6.97E-03
4.08E-01	-1.04E-01	-2.06E-01	6.07E-03	-3.09E-03	6.82E-03
4.07E-01	-9.07E-02	-2.38E-01	6.09E-03	-2.84E-03	6.66E-03
4.25E-01	-1.26E-01	-2.10E-01	6.68E-03	-3.12E-03	7.14E-03
4.17E-01	-6.55E-02	-2.22E-01	5.90E-03	-2.66E-03	7.08E-03
4.24E-01	-9.38E-02	-2.17E-01	5.95E-03	-2.73E-03	6.98E-03
4.28E-01	-1.38E-01	-2.16E-01	6.85E-03	-3.00E-03	7.13E-03
4.17E-01	-1.14E-01	-2.12E-01	7.11E-03	-3.17E-03	6.95E-03
4.17E-01	-1.29E-01	-2.16E-01	7.08E-03	-3.40E-03	7.00E-03
4.32E-01	-1.02E-01	-2.22E-01	6.41E-03	-3.30E-03	7.33E-03
4.34E-01	-9.08E-02	-2.14E-01	6.66E-03	-3.09E-03	7.27E-03
4.27E-01	-1.11E-01	-2.32E-01	6.48E-03	-2.90E-03	7.21E-03
4.33E-01	-1.22E-01	-2.37E-01	6.58E-03	-2.69E-03	7.43E-03
4.44E-01	-9.99E-02	-2.46E-01	6.62E-03	-2.65E-03	7.70E-03
4.47E-01	-1.07E-01	-2.51E-01	6.72E-03	-2.63E-03	7.71E-03
4.33E-01	-1.03E-01	-3.02E-01	7.58E-03	-2.92E-03	7.46E-03
4.48E-01	-1.39E-01	-2.83E-01	8.06E-03	-2.95E-03	7.65E-03
4.65E-01	-6.62E-02	-2.66E-01	6.92E-03	-2.47E-03	7.81E-03
4.67E-01	-9.71E-02	-2.70E-01	6.74E-03	-2.86E-03	7.82E-03
4.63E-01	-9.03E-02	-2.76E-01	6.82E-03	-2.89E-03	7.45E-03
4.77E-01	-1.23E-01	-2.63E-01	7.66E-03	-2.95E-03	7.58E-03
4.84E-01	-1.20E-01	-2.63E-01	7.72E-03	-2.86E-03	7.52E-03
5.00E-01	-1.05E-01	-2.68E-01	7.05E-03	-2.72E-03	7.57E-03
5.16E-01	-1.06E-01	-2.72E-01	7.30E-03	-2.74E-03	7.68E-03
5.00E-01	-1.00E-01	-2.79E-01	7.01E-03	-2.98E-03	7.47E-03
4.64E-01	-8.85E-02	-3.12E-01	7.59E-03	-3.23E-03	6.92E-03
4.83E-01	-1.53E-01	-2.96E-01	8.43E-03	-3.45E-03	7.33E-03
4.91E-01	-1.12E-01	-3.01E-01	9.16E-03	-3.53E-03	7.53E-03
4.80E-01	-8.91E-02	-2.96E-01	7.25E-03	-3.43E-03	7.16E-03
4.80E-01	-7.98E-02	-3.10E-01	7.73E-03	-3.38E-03	7.08E-03
4.74E-01	-1.26E-01	-3.13E-01	8.54E-03	-3.29E-03	7.04E-03
4.76E-01	-1.12E-01	-3.10E-01	8.63E-03	-3.22E-03	6.87E-03
4.76E-01	-1.08E-01	-3.20E-01	8.39E-03	-3.28E-03	6.84E-03
4.79E-01	-1.14E-01	-3.31E-01	8.42E-03	-3.24E-03	6.84E-03
4.67E-01	-8.22E-02	-3.11E-01	7.95E-03	-3.21E-03	6.81E-03
4.94E-01	-7.10E-02	-3.25E-01	8.22E-03	-2.93E-03	6.89E-03
5.21E-01	-1.38E-01	-3.66E-01	7.63E-03	-2.88E-03	7.01E-03
5.24E-01	-1.34E-01	-4.01E-01	7.90E-03	-2.42E-03	6.95E-03
5.27E-01	-5.23E-02	-3.89E-01	8.05E-03	-2.29E-03	7.08E-03
5.27E-01	-1.14E-01	-3.76E-01	8.70E-03	-2.94E-03	6.98E-03
5.07E-01	-1.16E-01	-3.53E-01	9.08E-03	-3.52E-03	6.73E-03
4.91E-01	-4.46E-02	-3.35E-01	8.06E-03	-3.19E-03	6.34E-03
5.01E-01	-9.73E-02	-3.29E-01	7.81E-03	-3.59E-03	6.56E-03
5.12E-01	-1.05E-01	-3.18E-01	8.06E-03	-3.42E-03	6.75E-03
5.16E-01	-9.53E-02	-2.63E-01	8.47E-03	-3.50E-03	6.64E-03
4.93E-01	-9.65E-02	-3.00E-01	7.94E-03	-3.76E-03	6.56E-03
4.89E-01	-5.33E-02	-3.31E-01	7.52E-03	-3.75E-03	6.36E-03
5.08E-01	-7.82E-02	-3.19E-01	7.71E-03	-3.67E-03	6.63E-03
5.30E-01	-8.95E-02	-3.12E-01	7.58E-03	-3.42E-03	6.79E-03
5.37E-01	-1.14E-01	-3.08E-01	8.34E-03	-3.45E-03	6.97E-03
5.42E-01	-1.12E-01	-3.13E-01	8.47E-03	-3.55E-03	7.07E-03
5.52E-01	-7.58E-02	-3.01E-01	7.97E-03	-3.54E-03	7.13E-03
5.61E-01	-9.21E-02	-3.12E-01	7.96E-03	-3.66E-03	7.26E-03
5.58E-01	-1.12E-01	-2.96E-01	8.22E-03	-3.72E-03	7.18E-03
5.42E-01	-9.95E-02	-3.22E-01	8.65E-03	-3.98E-03	6.93E-03
5.02E-01	-7.75E-02	-3.33E-01	9.33E-03	-4.10E-03	6.78E-03
5.04E-01	-9.67E-02	-3.55E-01	8.90E-03	-3.85E-03	6.66E-03
5.32E-01	-1.20E-01	-3.51E-01	8.53E-03	-3.45E-03	7.18E-03
5.46E-01	-8.77E-02	-3.17E-01	8.52E-03	-3.54E-03	7.48E-03
5.38E-01	-8.00E-02	-3.92E-01	8.87E-03	-3.39E-03	7.34E-03
5.37E-01	-1.44E-01	-3.47E-01	1.04E-02	-3.51E-03	7.49E-03
5.49E-01	-1.03E-01	-3.31E-01	9.18E-03	-3.27E-03	7.84E-03
5.50E-01	-9.11E-02	-3.47E-01	8.72E-03	-3.34E-03	7.79E-03
5.44E-01	-1.00E-01	-3.24E-01	8.94E-03	-3.32E-03	7.72E-03
5.24E-01	-1.05E-01	-3.51E-01	9.99E-03	-3.62E-03	7.38E-03
5.35E-01	-1.04E-01	-3.36E-01	9.33E-03	-3.51E-03	7.47E-03
5.36E-01	-1.03E-01	-3.22E-01	9.27E-03	-3.50E-03	7.60E-03
5.43E-01	-1.19E-01	-3.43E-01	9.17E-03	-3.09E-03	7.69E-03
5.48E-01	-1.12E-01	-3.54E-01	9.54E-03	-3.33E-03	7.69E-03
5.47E-01	-7.70E-02	-3.52E-01	9.52E-03	-3.54E-03	7.75E-03
5.48E-01	-7.30E-02	-3.68E-01	9.12E-03	-3.37E-03	7.81E-03
5.57E-01	-1.12E-01	-3.34E-01	1.01E-02	-3.12E-03	7.92E-03
5.22E-01	-8.90E-02	-3.71E-01	1.04E-02	-3.66E-03	7.31E-03
5.26E-01	-1.30E-01	-3.63E-01	9.60E-03	-3.66E-03	7.38E-03
5.18E-01	-5.98E-02	-3.74E-01	9.38E-03	-3.87E-03	7.51E-03
5.27E-01	-9.97E-02	-3.50E-01	9.63E-03	-3.81E-03	7.30E-03
5.03E-01	-7.49E-02	-3.54E-01	1.07E-02	-3.62E-03	7.14E-03
5.22E-01	-1.36E-01	-3.25E-01	9.87E-03	-3.62E-03	7.39E-03
5.25E-01	-5.64E-02	-3.60E-01	9.90E-03	-3.46E-03	7.73E-03
5.38E-01	-1.20E-01	-3.71E-01	9.99E-03	-3.28E-03	7.54E-03
5.48E-01	-1.13E-01	-3.58E-01	1.04E-02	-3.29E-03	7.87E-03
4.99E-01	-1.23E-01	-3.62E-01	1.10E-02	-3.79E-03	7.28E-03
4.76E-01	-1.32E-01	-3.29E-01	1.14E-02	-3.92E-03	6.91E-03
4.70E-01	-1.32E-01	-3.39E-01	1.12E-02	-3.90E-03	6.71E-03
4.86E-01	-1.08E-01	-3.39E-01	1.07E-02	-3.55E-03	7.02E-03
4.97E-01	-1.28E-01	-3.46E-01	9.79E-03	-3.49E-03	6.82E-03
4.80E-01	-1.35E-01	-3.48E-01	1.09E-02	-3.41E-03	6.70E-03
4.87E-01	-1.28E-01	-3.21E-01	1.05E-02	-3.17E-03	6.66E-03
5.10E-01	-1.36E-01	-3.02E-01	1.03E-02	-2.60E-03	7.01E-03
4.96E-01	-1.28E-01	-3.23E-01	1.04E-02	-2.38E-03	6.71E-03
4.74E-01	-1.36E-01	-3.62E-01	1.14E-02	-2.33E-03	6.67E-03
4.73E-01	-1.10E-01	-3.67E-01	1.08E-02	-1.97E-03	6.80E-03
4.56E-01	-1.25E-01	-3.67E-01	1.08E-02	-2.38E-03	6.70E-03
4.62E-01	-1.66E-01	-3.50E-01	1.12E-02	-2.06E-03	6.73E-03
4.40E-01	-1.43E-01	-3.79E-01	1.22E-02	-2.61E-03	6.18E-03
4.74E-01	-1.29E-01	-3.64E-01	1.06E-02	-1.72E-03	6.68E-03
4.77E-01	-1.09E-01	-3.77E-01	1.05E-02	-1.97E-03	6.52E-03
4.68E-01	-1.19E-01	-3.71E-01	1.09E-02	-2.10E-03	6.47E-03
4.74E-01	-1.39E-01	-3.60E-01	1.08E-02	-1.56E-03	6.82E-03
4.75E-01	-7.68E-02	-3.80E-01	1.00E-02	-1.86E-03	6.64E-03
5.02E-01	-1.58E-01	-4.01E-01	1.04E-02	-1.79E-03	6.91E-03
5.11E-01	-9.08E-02	-3.82E-01	1.07E-02	-1.69E-03	6.77E-03
5.09E-01	-1.31E-01	-3.68E-01	1.04E-02	-1.56E-03	6.75E-03
5.10E-01	-1.47E-01	-3.65E-01	1.09E-02	-1.36E-03	6.87E-03
5.12E-01	-1.52E-01	-3.54E-01	1.14E-02	-9.39E-04	6.95E-03
5.02E-01	-1.32E-01	-3.76E-01	1.03E-02	-7.51E-04	6.91E-03
5.24E-01	-1.29E-01	-3.68E-01	1.02E-02	-2.83E-04	7.26E-03
5.23E-01	-1.36E-01	-3.63E-01	1.10E-02	-8.40E-04	7.32E-03
5.31E-01	-1.42E-01	-3.44E-01	1.11E-02	-4.56E-04	7.31E-03
5.42E-01	-1.35E-01	-3.38E-01	1.03E-02	-2.53E-04	7.35E-03
5.36E-01	-1.10E-01	-3.60E-01	1.01E-02	-5.54E-04	7.53E-03
5.34E-01	-9.21E-02	-3.65E-01	9.88E-03	-3.62E-04	7.48E-03
5.35E-01	-1.46E-01	-3.61E-01	1.09E-02	-5.33E-04	7.42E-03
5.23E-01	-1.40E-01	-3.75E-01	1.06E-02	-4.99E-04	7.22E-03
4.95E-01	-1.39E-01	-3.58E-01	1.09E-02	-2.06E-03	7.21E-03
5.10E-01	-1.15E-01	-4.47E-01	1.52E-02	-9.72E-04	6.72E-03
5.01E-01	-1.23E-01	-3.98E-01	1.19E-02	-1.53E-03	7.79E-03
5.00E-01	-1.17E-01	-3.82E-01	1.14E-02	-1.53E-03	7.64E-03
4.70E-01	-1.13E-01	-4.16E-01	1.16E-02	-1.51E-03	7.21E-03
4.93E-01	-1.49E-01	-3.94E-01	1.21E-02	-9.24E-04	7.48E-03
5.02E-01	-1.22E-01	-3.92E-01	1.20E-02	-8.77E-04	7.14E-03
5.00E-01	-1.12E-01	-3.84E-01	1.12E-02	-6.07E-04	7.34E-03
5.22E-01	-1.19E-01	-4.12E-01	1.11E-02	-5.99E-04	7.34E-03
5.25E-01	-1.10E-01	-4.21E-01	1.14E-02	-6.18E-04	7.50E-03
5.24E-01	-1.07E-01	-4.30E-01	1.15E-02	-5.14E-04	7.55E-03
5.21E-01	-1.16E-01	-4.34E-01	1.17E-02	-4.04E-04	7.53E-03
5.10E-01	-1.16E-01	-4.60E-01	1.31E-02	-2.33E-04	7.77E-03
5.15E-01	-1.42E-01	-4.32E-01	1.34E-02	-1.50E-04	7.88E-03
5.25E-01	-1.17E-01	-4.31E-01	1.23E-02	-3.23E-05	7.84E-03
5.29E-01	-1.08E-01	-4.35E-01	1.17E-02	2.07E-04	8.00E-03
5.19E-01	-4.20E-02	-4.60E-01	1.18E-02	8.71E-05	7.78E-03
5.21E-01	-1.54E-01	-4.33E-01	1.19E-02	-1.59E-04	8.02E-03
5.28E-01	-9.23E-02	-4.35E-01	1.22E-02	2.23E-04	8.09E-03
5.28E-01	-1.04E-01	-4.15E-01	1.24E-02	-2.46E-04	8.02E-03
5.13E-01	-1.25E-01	-4.26E-01	1.14E-02	-8.44E-05	8.02E-03
5.08E-01	-1.22E-01	-3.67E-01	1.12E-02	4.75E-05	7.84E-03
5.04E-01	-1.04E-01	-3.64E-01	1.12E-02	3.12E-04	7.60E-03
4.86E-01	-1.19E-01	-3.37E-01	1.19E-02	1.16E-04	7.54E-03
4.94E-01	-1.43E-01	-3.60E-01	1.24E-02	2.15E-04	7.86E-03
5.15E-01	-1.19E-01	-3.70E-01	1.15E-02	6.50E-04	8.17E-03
5.22E-01	-1.09E-01	-3.69E-01	1.12E-02	8.34E-04	8.30E-03
4.95E-01	-8.60E-02	-3.58E-01	1.12E-02	8.20E-04	8.23E-03
