x 	y	z	roll	pitch	yaw
0.00E+00	0.00E+00	-1.42E-14	-1.39E-17	6.97E-18	9.67E-35
-8.50E-03	5.93E-02	4.14E-02	-1.56E-03	5.53E-04	-1.75E-04
1.18E-04	3.60E-03	4.68E-02	-1.96E-03	4.76E-04	-1.76E-04
9.84E-04	2.04E-02	1.07E-02	-1.43E-03	4.23E-04	-3.07E-04
-1.47E-03	2.66E-02	2.11E-02	-1.20E-03	2.49E-04	-4.74E-04
-8.09E-03	-1.83E-03	7.16E-03	-9.55E-04	2.00E-04	-6.51E-04
4.65E-03	3.31E-03	3.76E-02	-4.55E-04	2.21E-06	-6.31E-04
1.03E-02	1.40E-02	3.94E-02	-1.45E-03	3.55E-04	-7.59E-04
1.43E-02	-2.28E-03	4.36E-02	-1.24E-03	-1.70E-05	-9.99E-04
3.81E-02	-1.17E-03	6.59E-02	-1.03E-03	-1.94E-05	-8.32E-04
4.87E-02	-1.01E-02	9.37E-02	-1.28E-03	9.13E-05	-5.90E-04
6.45E-02	-3.09E-02	7.33E-02	-8.28E-04	-3.09E-05	-1.79E-04
7.17E-02	-1.79E-02	5.95E-02	-1.50E-04	-1.87E-04	7.90E-04
1.26E-01	-4.08E-02	8.63E-02	2.06E-04	-1.72E-04	1.97E-03
1.20E-01	-1.46E-03	5.73E-02	5.51E-04	-2.40E-04	2.48E-03
1.13E-01	6.59E-03	8.78E-02	-5.43E-04	5.23E-05	2.35E-03
1.23E-01	-8.18E-02	2.21E-03	1.09E-03	-4.23E-04	2.69E-03
1.13E-01	-9.94E-03	3.73E-03	5.48E-04	-3.34E-04	2.85E-03
1.13E-01	6.42E-04	1.94E-02	-1.63E-04	1.02E-04	2.84E-03
1.08E-01	-3.35E-02	6.69E-03	1.27E-03	-2.91E-04	2.91E-03
8.83E-02	-4.84E-02	2.28E-02	1.02E-03	-7.26E-04	3.29E-03
1.17E-01	-1.88E-02	1.15E-02	9.29E-04	-7.77E-04	3.62E-03
1.35E-01	-5.01E-02	6.55E-03	1.97E-03	-9.10E-04	3.87E-03
1.48E-01	-7.62E-03	-1.56E-02	9.47E-04	-5.40E-04	4.03E-03
1.67E-01	-1.06E-02	-4.45E-02	1.19E-03	-9.04E-04	3.97E-03
1.85E-01	-4.41E-02	-7.22E-02	2.10E-03	-5.76E-04	3.80E-03
3.29E-01	-5.59E-02	2.40E-01	-1.43E-02	5.20E-03	6.62E-03
2.20E-01	-4.31E-02	1.32E-01	-5.13E-04	-2.94E-03	4.58E-03
1.91E-01	-1.02E-01	1.50E-01	-3.28E-04	-2.28E-03	5.06E-03
1.75E-01	-5.21E-02	1.57E-01	-3.01E-04	-2.10E-03	4.86E-03
1.90E-01	-5.80E-02	1.45E-01	-1.06E-03	-2.59E-03	5.05E-03
2.03E-01	-8.51E-02	1.36E-01	-2.69E-04	-3.24E-03	5.14E-03
2.11E-01	-9.59E-02	1.45E-01	5.75E-04	-3.13E-03	5.28E-03
2.22E-01	-1.10E-01	1.52E-01	1.05E-03	-3.30E-03	5.27E-03
2.19E-01	-8.94E-02	1.35E-01	8.87E-04	-3.63E-03	5.21E-03
2.28E-01	-1.09E-01	1.18E-01	6.38E-04	-3.41E-03	5.41E-03
2.07E-01	-9.69E-02	1.05E-01	8.58E-04	-3.61E-03	4.77E-03
2.03E-01	-1.18E-01	8.62E-02	1.41E-03	-3.53E-03	4.78E-03
1.77E-01	-5.51E-02	7.76E-02	1.53E-03	-3.33E-03	4.46E-03
1.90E-01	-1.58E-01	5.95E-02	1.48E-03	-4.10E-03	4.71E-03
1.52E-01	-1.55E-02	3.60E-02	1.28E-03	-3.59E-03	4.34E-03
1.73E-01	-1.67E-01	5.01E-02	1.75E-03	-3.66E-03	5.05E-03
1.62E-01	-1.27E-01	4.34E-02	2.29E-03	-4.10E-03	4.67E-03
1.69E-01	-7.35E-02	4.86E-02	1.91E-03	-3.98E-03	4.52E-03
1.74E-01	-1.28E-01	6.29E-02	3.07E-03	-4.33E-03	4.50E-03
1.78E-01	-1.34E-01	6.98E-02	2.45E-03	-4.08E-03	4.40E-03
1.82E-01	-1.41E-01	4.59E-02	2.66E-03	-3.75E-03	4.36E-03
1.57E-01	-1.10E-01	2.51E-02	2.24E-03	-4.05E-03	3.66E-03
1.56E-01	-1.26E-01	2.51E-02	3.00E-03	-4.46E-03	3.55E-03
1.62E-01	-6.73E-02	7.14E-02	2.35E-03	-3.95E-03	3.45E-03
1.50E-01	-1.58E-01	8.19E-02	2.63E-03	-4.59E-03	3.50E-03
1.49E-01	-1.10E-01	8.04E-02	2.12E-03	-4.49E-03	3.04E-03
1.53E-01	-1.41E-01	4.96E-02	3.99E-03	-4.52E-03	2.96E-03
1.46E-01	-1.20E-01	5.31E-02	3.36E-03	-4.45E-03	3.18E-03
1.41E-01	-1.16E-01	3.93E-02	3.13E-03	-3.98E-03	3.21E-03
1.37E-01	-1.31E-01	4.69E-02	3.52E-03	-4.16E-03	3.09E-03
