onset	duration	acc	condition
0	0	1	NULL
2.013	0	1	Mask
4.013	0	1	TSA
6.013	0	1	Mask
8.013	0	1	TSW
10.013	0	1	TSA
12.013	0	1	Word2
14.013	0	1	TSW
16.013	0	1	NULL
18.026	0	1	TSW
20.026	0	1	NULL
30.039	0	1	TSA
32.039	0	1	NULL
36.053	0	1	TSA
38.052	0	1	NULL
46.066	0	1	RS
48.066	0	1	Word1
50.066	0	1	NULL
52.079	0	1	TSW
54.079	0	1	RS
56.079	0	1	NULL
58.092	0	1	Word2
60.092	0	1	Word1
62.092	0	1	Word2
64.092	0	1	Word2
66.092	0	1	NULL
68.105	0	1	Word2
70.105	0	1	RS
72.105	0	1	NULL
80.119	0	1	TSA
82.119	0	1	TSW
84.119	0	1	NULL
86.132	0	1	Mask
88.132	0	1	NULL
90.145	0	1	Word2
92.145	0	1	Word1
94.145	0	1	NULL
100.158	0	1	Word2
102.158	0	1	RS
104.158	0	1	NULL
110.172	0	0	Word1
112.171	0	1	TSW
114.171	0	1	RS
116.171	0	1	NULL
118.185	0	1	RS
120.185	0	1	NULL
126.198	0	1	TSW
128.198	0	1	Word1
130.198	0	1	NULL
132.211	0	1	TSA
134.211	0	1	NULL
136.225	0	1	Word2
138.224	0	1	NULL
140.238	0	1	TSW
142.238	0	1	Mask
144.238	0	1	NULL
146.251	0	1	Mask
148.251	0	1	NULL
154.264	0	1	Mask
156.264	0	1	NULL
162.278	0	1	Word1
164.277	0	1	RS
166.277	0	1	NULL
168.291	0	1	Mask
170.291	0	1	TSA
172.291	0	1	NULL
174.304	0	1	Mask
176.304	0	1	Mask
178.304	0	1	NULL
180.317	0	1	RS
182.317	0	1	NULL
184.331	0	1	RS
186.33	0	1	NULL
188.344	0	1	Word1
190.344	0	1	NULL
194.357	0	1	Mask
196.357	0	1	TSA
198.357	0	1	NULL
204.37	0	1	Mask
206.37	0	1	NULL
210.384	0	1	TSW
212.384	0	1	TSA
214.383	0	1	NULL
218.397	0	1	TSA
220.397	0	1	NULL
222.41	0	1	RS
224.41	0	1	NULL
226.423	0	0	Word1
228.423	0	1	NULL
230.437	0	1	Word1
232.437	0	0	Word2
234.437	0	1	NULL
238.45	0	1	Word1
240.45	0	1	NULL
244.463	0	1	TSA
246.463	0	1	RS
248.463	0	1	TSW
250.463	0	1	NULL
256.476	0	1	Word2
258.476	0	1	NULL
264.489	0	1	RS
266.489	0	1	Word1
268.489	0	1	Mask
270.489	0	1	NULL
280.503	0	1	RS
282.503	0	1	TSW
284.503	0	1	Word2
286.503	0	1	NULL
292.516	0	1	RS
294.516	0	1	NULL
296.529	0	1	TSW
298.529	0	1	NULL
310.542	0	1	TSW
312.542	0	1	NULL
314.555	0	1	Word1
316.555	0	1	Word2
318.555	0	0	RS
320.555	0	1	Word2
322.555	0	1	NULL
324.569	0	1	RS
326.569	0	1	RS
328.569	0	1	NULL
334.582	0	1	TSA
336.582	0	1	Word1
338.582	0	1	NULL
342.595	0	1	Word2
344.595	0	1	Word1
346.595	0	1	TSW
348.595	0	1	NULL
350.608	0	1	Word1
352.608	0	1	Word2
354.608	0	1	Word1
356.608	0	1	TSA
358.608	0	1	NULL
360.622	0	1	Word1
362.621	0	1	TSW
364.621	0	1	NULL
366.635	0	1	TSA
368.635	0	1	NULL
376.648	0	1	TSW
378.648	0	1	TSA
380.648	0	1	Mask
382.648	0	1	NULL
384.661	0	1	Mask
386.661	0	1	NULL
390.674	0	1	TSA
392.674	0	1	Mask
394.674	0	1	RS
396.674	0	0	TSW
398.674	0	1	NULL
406.688	0	1	RS
408.688	0	1	NULL
410.701	0	1	Word2
412.701	0	1	NULL
414.714	0	1	Mask
416.714	0	1	TSW
418.714	0	1	NULL
424.727	0	1	Mask
426.727	0	1	Mask
428.727	0	1	Word1
430.727	0	1	Mask
432.727	0	1	Word2
434.727	0	1	NULL
436.741	0	1	TSA
438.741	0	1	TSA
440.74	0	1	NULL
444.754	0	0	Word1
446.754	0	1	NULL
454.767	0	1	Word2
456.767	0	1	NULL
462.78	0	1	TSA
464.78	0	1	Mask
466.78	0	1	TSA
468.78	0	1	Word2
470.78	0	1	TSW
472.78	0	1	NULL
478.793	0	1	Word2
480.793	0	1	NULL
488.806	0	1	RS
490.806	0	1	NULL
492.82	0	1	Word1
494.82	0	1	NULL
498.833	0	1	TSW
