onset	duration	acc	condition
0	0	1	NULL
2.014	0	1	Mask
4.014	0	1	TSA
6.014	0	1	Mask
8.014	0	1	TSW
10.014	0	1	TSA
12.013	0	1	Word2
14.013	0	1	TSW
16.013	0	1	NULL
18.027	0	1	TSW
20.027	0	1	NULL
30.04	0	1	TSA
32.04	0	1	NULL
36.053	0	1	TSA
38.053	0	1	NULL
46.066	0	1	RS
48.066	0	0	Word1
50.066	0	1	NULL
52.079	0	1	TSW
54.079	0	1	RS
56.079	0	1	NULL
58.092	0	1	Word2
60.092	0	1	Word1
62.092	0	0	Word2
64.092	0	1	Word2
66.092	0	1	NULL
68.105	0	1	Word2
70.105	0	1	RS
72.105	0	1	NULL
80.118	0	1	TSA
82.118	0	0	TSW
84.118	0	1	NULL
86.132	0	1	Mask
88.132	0	1	NULL
90.145	0	1	Word2
92.145	0	1	Word1
94.145	0	1	NULL
100.158	0	0	Word2
102.158	0	1	RS
104.158	0	1	NULL
110.171	0	0	Word1
112.171	0	1	TSW
114.171	0	1	RS
116.171	0	1	NULL
118.184	0	1	RS
120.184	0	1	NULL
126.197	0	1	TSW
128.197	0	1	Word1
130.197	0	1	NULL
132.21	0	1	TSA
134.21	0	1	NULL
136.224	0	1	Word2
138.224	0	1	NULL
140.237	0	1	TSW
142.237	0	1	Mask
144.237	0	1	NULL
146.25	0	1	Mask
148.25	0	1	NULL
154.263	0	1	Mask
156.263	0	1	NULL
162.276	0	1	Word1
164.276	0	1	RS
166.276	0	1	NULL
168.289	0	1	Mask
170.289	0	1	TSA
172.289	0	1	NULL
174.303	0	1	Mask
176.303	0	1	Mask
178.303	0	1	NULL
180.316	0	0	RS
182.316	0	1	NULL
184.329	0	1	RS
186.329	0	1	NULL
188.342	0	1	Word1
190.342	0	1	NULL
194.355	0	1	Mask
196.355	0	1	TSA
198.355	0	1	NULL
204.368	0	1	Mask
206.368	0	1	NULL
210.382	0	1	TSW
212.382	0	1	TSA
214.382	0	1	NULL
218.395	0	1	TSA
220.395	0	1	NULL
222.408	0	1	RS
224.408	0	1	NULL
226.421	0	1	Word1
228.421	0	1	NULL
230.435	0	1	Word1
232.434	0	0	Word2
234.434	0	1	NULL
238.448	0	0	Word1
240.448	0	1	NULL
244.461	0	1	TSA
246.461	0	1	RS
248.461	0	1	TSW
250.461	0	1	NULL
256.474	0	1	Word2
258.474	0	1	NULL
264.487	0	1	RS
266.487	0	1	Word1
268.487	0	1	Mask
270.487	0	1	NULL
280.5	0	1	RS
282.5	0	1	TSW
284.5	0	1	Word2
286.5	0	1	NULL
292.513	0	1	RS
294.513	0	1	NULL
296.526	0	1	TSW
298.526	0	1	NULL
310.539	0	1	TSW
312.539	0	1	NULL
314.552	0	1	Word1
316.552	0	1	Word2
318.552	0	1	RS
320.552	0	1	Word2
322.552	0	1	NULL
324.565	0	1	RS
326.565	0	1	RS
328.565	0	1	NULL
334.578	0	1	TSA
336.578	0	1	Word1
338.578	0	1	NULL
342.592	0	1	Word2
344.592	0	1	Word1
346.592	0	1	TSW
348.591	0	1	NULL
350.605	0	1	Word1
352.605	0	1	Word2
354.605	0	1	Word1
356.605	0	1	TSA
358.605	0	1	NULL
360.618	0	1	Word1
362.618	0	1	TSW
364.618	0	1	NULL
366.631	0	1	TSA
368.631	0	1	NULL
376.644	0	1	TSW
378.644	0	1	TSA
380.644	0	1	Mask
382.644	0	1	NULL
384.657	0	1	Mask
386.657	0	1	NULL
390.67	0	0	TSA
392.67	0	0	Mask
394.67	0	1	RS
396.67	0	0	TSW
398.67	0	1	NULL
406.683	0	1	RS
408.683	0	1	NULL
410.697	0	1	Word2
412.696	0	1	NULL
414.71	0	1	Mask
416.71	0	1	TSW
418.71	0	1	NULL
424.723	0	1	Mask
426.723	0	1	Mask
428.723	0	1	Word1
430.723	0	1	Mask
432.723	0	1	Word2
434.723	0	1	NULL
436.736	0	1	TSA
438.736	0	1	TSA
440.736	0	1	NULL
444.749	0	1	Word1
446.749	0	1	NULL
454.762	0	1	Word2
456.762	0	1	NULL
462.775	0	1	TSA
464.775	0	1	Mask
466.775	0	1	TSA
468.775	0	1	Word2
470.775	0	1	TSW
472.775	0	1	NULL
478.788	0	1	Word2
480.788	0	1	NULL
488.801	0	1	RS
490.801	0	1	NULL
492.814	0	1	Word1
494.814	0	1	NULL
498.828	0	1	TSW
