onset	duration	acc	condition
0	0	1	NULL
2.013	0	1	Mask
4.013	0	0	TSA
6.013	0	1	Mask
8.013	0	1	TSW
10.013	0	1	TSA
12.013	0	0	Word2
14.013	0	1	TSW
16.013	0	1	NULL
18.026	0	1	TSW
20.026	0	1	NULL
30.039	0	1	TSA
32.039	0	1	NULL
36.052	0	1	TSA
38.052	0	1	NULL
46.066	0	1	RS
48.065	0	0	Word1
50.065	0	1	NULL
52.079	0	1	TSW
54.079	0	1	RS
56.079	0	1	NULL
58.092	0	1	Word2
60.092	0	0	Word1
62.092	0	1	Word2
64.092	0	1	Word2
66.092	0	1	NULL
68.105	0	1	Word2
70.105	0	1	RS
72.105	0	1	NULL
80.118	0	1	TSA
82.118	0	0	TSW
84.118	0	1	NULL
86.131	0	1	Mask
88.131	0	1	NULL
90.145	0	1	Word2
92.145	0	1	Word1
94.145	0	1	NULL
100.158	0	0	Word2
102.158	0	1	RS
104.158	0	1	NULL
110.171	0	0	Word1
112.171	0	1	TSW
114.171	0	1	RS
116.171	0	1	NULL
118.184	0	1	RS
120.184	0	1	NULL
126.197	0	1	TSW
128.197	0	0	Word1
130.197	0	1	NULL
132.21	0	1	TSA
134.21	0	1	NULL
136.224	0	1	Word2
138.224	0	1	NULL
140.237	0	1	TSW
142.237	0	1	Mask
144.237	0	1	NULL
146.25	0	1	Mask
148.25	0	1	NULL
154.263	0	1	Mask
156.263	0	1	NULL
162.277	0	1	Word1
164.277	0	1	RS
166.277	0	1	NULL
168.29	0	1	Mask
170.29	0	1	TSA
172.29	0	1	NULL
174.303	0	1	Mask
176.303	0	1	Mask
178.303	0	1	NULL
180.316	0	1	RS
182.316	0	1	NULL
184.329	0	1	RS
186.329	0	1	NULL
188.343	0	1	Word1
190.343	0	1	NULL
194.356	0	1	Mask
196.356	0	1	TSA
198.356	0	1	NULL
204.369	0	1	Mask
206.369	0	1	NULL
210.382	0	1	TSW
212.382	0	1	TSA
214.382	0	1	NULL
218.395	0	1	TSA
220.395	0	1	NULL
222.409	0	1	RS
224.409	0	1	NULL
226.422	0	1	Word1
228.422	0	1	NULL
230.435	0	1	Word1
232.435	0	0	Word2
234.435	0	1	NULL
238.448	0	0	Word1
240.448	0	1	NULL
244.462	0	1	TSA
246.462	0	1	RS
248.462	0	1	TSW
250.461	0	1	NULL
256.475	0	1	Word2
258.475	0	1	NULL
264.488	0	1	RS
266.488	0	1	Word1
268.488	0	1	Mask
270.488	0	1	NULL
280.501	0	1	RS
282.501	0	1	TSW
284.501	0	1	Word2
286.501	0	1	NULL
292.514	0	1	RS
294.514	0	1	NULL
296.527	0	0	TSW
298.527	0	1	NULL
310.54	0	1	TSW
312.54	0	1	NULL
314.554	0	1	Word1
316.554	0	1	Word2
318.553	0	1	RS
320.553	0	1	Word2
322.553	0	1	NULL
324.567	0	1	RS
326.567	0	1	RS
328.567	0	1	NULL
334.58	0	1	TSA
336.58	0	1	Word1
338.58	0	1	NULL
342.593	0	1	Word2
344.593	0	1	Word1
346.593	0	1	TSW
348.593	0	1	NULL
350.606	0	1	Word1
352.606	0	1	Word2
354.606	0	1	Word1
356.606	0	1	TSA
358.606	0	1	NULL
360.619	0	1	Word1
362.619	0	0	TSW
364.619	0	1	NULL
366.633	0	1	TSA
368.633	0	1	NULL
376.646	0	1	TSW
378.646	0	1	TSA
380.646	0	1	Mask
382.646	0	1	NULL
384.659	0	1	Mask
386.659	0	1	NULL
390.672	0	1	TSA
392.672	0	1	Mask
394.672	0	1	RS
396.672	0	0	TSW
398.672	0	1	NULL
406.685	0	1	RS
408.685	0	1	NULL
410.698	0	1	Word2
412.698	0	1	NULL
414.712	0	1	Mask
416.712	0	1	TSW
418.711	0	1	NULL
424.725	0	1	Mask
426.725	0	1	Mask
428.725	0	1	Word1
430.725	0	1	Mask
432.725	0	1	Word2
434.725	0	1	NULL
436.738	0	1	TSA
438.738	0	1	TSA
440.738	0	1	NULL
444.751	0	0	Word1
446.751	0	1	NULL
454.764	0	1	Word2
456.764	0	1	NULL
462.777	0	1	TSA
464.777	0	1	Mask
466.777	0	1	TSA
468.777	0	1	Word2
470.777	0	0	TSW
472.777	0	1	NULL
478.79	0	1	Word2
480.79	0	1	NULL
488.803	0	1	RS
490.803	0	1	NULL
492.817	0	1	Word1
494.817	0	1	NULL
498.83	0	1	TSW
