x 	y	z	roll	pitch	yaw
-4.28E-02	-3.86E-02	3.86E-01	1.19E-02	2.39E-03	-1.25E-02
1.38E-01	-5.35E-02	4.03E-01	1.32E-02	3.34E-03	-8.93E-03
-2.31E-03	-3.96E-02	4.03E-01	1.29E-02	2.71E-03	-1.17E-02
-1.43E-02	-3.89E-04	3.69E-01	1.27E-02	2.88E-03	-1.21E-02
-4.61E-03	1.03E-02	3.66E-01	1.34E-02	2.62E-03	-1.18E-02
9.84E-03	-1.85E-03	3.50E-01	1.32E-02	2.74E-03	-1.17E-02
-3.07E-02	-5.54E-03	3.59E-01	1.35E-02	2.62E-03	-1.25E-02
-3.01E-02	-2.24E-02	3.75E-01	1.35E-02	2.75E-03	-1.26E-02
-2.89E-02	9.24E-03	3.70E-01	1.36E-02	2.66E-03	-1.25E-02
-9.08E-03	-3.14E-02	3.99E-01	1.42E-02	3.25E-03	-1.24E-02
-1.91E-01	-8.31E-02	2.92E-01	1.23E-02	5.37E-03	-1.30E-02
-1.32E-01	1.85E-01	8.31E-02	1.53E-02	4.65E-03	-1.20E-02
-7.14E-02	1.04E-01	1.44E-01	1.58E-02	4.97E-03	-1.22E-02
-5.02E-02	9.36E-02	1.28E-01	1.59E-02	4.99E-03	-1.22E-02
-2.76E-02	6.97E-02	1.96E-01	1.68E-02	4.98E-03	-1.20E-02
-1.41E-02	5.81E-02	2.67E-01	1.67E-02	4.87E-03	-1.24E-02
5.93E-02	3.00E-02	3.76E-01	1.53E-02	5.15E-03	-1.15E-02
4.33E-02	1.03E-02	3.76E-01	1.56E-02	4.70E-03	-1.19E-02
6.02E-02	5.41E-04	3.98E-01	1.57E-02	4.95E-03	-1.18E-02
5.35E-02	9.46E-03	4.27E-01	1.57E-02	4.87E-03	-1.19E-02
3.79E-02	-2.62E-02	4.38E-01	1.59E-02	4.96E-03	-1.18E-02
3.34E-02	9.36E-03	4.17E-01	1.59E-02	4.89E-03	-1.20E-02
2.91E-02	5.97E-03	4.05E-01	1.61E-02	4.78E-03	-1.24E-02
3.92E-02	-1.03E-02	4.11E-01	1.63E-02	5.08E-03	-1.23E-02
4.58E-02	-3.28E-04	4.34E-01	1.61E-02	5.20E-03	-1.19E-02
2.79E-02	2.36E-02	4.26E-01	1.59E-02	4.91E-03	-1.21E-02
5.09E-02	3.37E-02	3.98E-01	1.58E-02	5.22E-03	-1.21E-02
4.20E-02	3.90E-02	4.01E-01	1.58E-02	4.97E-03	-1.22E-02
4.62E-02	2.09E-02	4.30E-01	1.62E-02	5.15E-03	-1.23E-02
2.70E-02	-3.13E-04	4.03E-01	1.65E-02	5.17E-03	-1.22E-02
2.41E-02	-4.34E-03	4.13E-01	1.68E-02	5.18E-03	-1.22E-02
-1.55E-02	1.47E-02	3.75E-01	1.70E-02	4.98E-03	-1.26E-02
1.98E-02	2.31E-02	3.68E-01	1.66E-02	5.29E-03	-1.20E-02
3.14E-02	4.45E-02	3.13E-01	1.69E-02	5.47E-03	-1.19E-02
-1.04E-01	2.39E-02	-1.45E-01	1.64E-02	6.52E-03	-1.06E-02
-7.74E-02	1.06E-01	-9.46E-02	1.77E-02	3.34E-03	-1.01E-02
-5.06E-02	8.32E-02	-9.67E-02	1.88E-02	4.34E-03	-1.01E-02
-7.36E-02	1.20E-01	-6.51E-02	1.90E-02	3.81E-03	-1.12E-02
-6.98E-02	1.11E-01	2.33E-02	1.93E-02	3.46E-03	-1.14E-02
-5.19E-02	6.72E-02	4.82E-02	1.98E-02	3.73E-03	-1.17E-02
-3.64E-02	3.58E-02	5.50E-02	2.01E-02	3.59E-03	-1.13E-02
-4.43E-02	3.83E-02	3.94E-02	2.01E-02	3.37E-03	-1.15E-02
-6.17E-04	1.66E-02	1.96E-02	2.04E-02	4.20E-03	-1.11E-02
3.66E-03	-3.99E-02	1.65E-01	2.15E-02	4.05E-03	-1.07E-02
-1.13E-01	-7.54E-02	1.01E-01	1.75E-02	5.12E-03	-1.09E-02
-6.05E-02	6.07E-02	-7.68E-02	1.97E-02	4.48E-03	-1.04E-02
-2.66E-03	3.19E-02	-6.24E-02	2.01E-02	5.17E-03	-1.01E-02
-1.52E-02	1.36E-02	-5.39E-02	2.09E-02	4.90E-03	-1.01E-02
9.09E-03	-1.11E-02	-6.66E-02	2.10E-02	5.24E-03	-1.01E-02
4.52E-02	-6.75E-02	2.02E-01	1.88E-02	5.17E-03	-9.74E-03
3.54E-02	-8.86E-02	3.91E-01	1.74E-02	4.43E-03	-1.04E-02
6.12E-02	-8.70E-02	3.13E-01	1.80E-02	4.59E-03	-1.05E-02
6.84E-02	-1.28E-01	3.62E-01	1.84E-02	4.60E-03	-1.02E-02
7.52E-02	-1.24E-01	3.92E-01	1.78E-02	4.63E-03	-1.03E-02
7.72E-02	-8.90E-02	3.65E-01	1.81E-02	4.93E-03	-1.07E-02
7.09E-02	-7.59E-02	3.04E-01	1.81E-02	4.79E-03	-1.07E-02
6.61E-03	-8.18E-02	3.23E-01	1.85E-02	4.52E-03	-1.11E-02
2.91E-02	-4.83E-02	3.38E-01	1.85E-02	4.53E-03	-1.08E-02
2.52E-02	-8.02E-02	3.55E-01	1.90E-02	4.53E-03	-1.08E-02
1.13E-02	-6.66E-02	2.68E-01	1.87E-02	4.40E-03	-1.09E-02
-1.64E-02	-9.33E-02	3.74E-02	1.98E-02	5.39E-03	-1.11E-02
-2.56E-02	-8.43E-02	-3.73E-02	2.05E-02	5.34E-03	-1.10E-02
-9.86E-02	-7.47E-02	-1.25E-01	1.95E-02	4.76E-03	-1.08E-02
-8.46E-02	-5.08E-02	-1.93E-02	2.16E-02	5.15E-03	-1.09E-02
-1.74E-02	-9.52E-02	1.11E-01	2.08E-02	5.21E-03	-1.03E-02
-7.21E-02	-3.97E-02	1.26E-01	2.12E-02	4.34E-03	-1.16E-02
-5.28E-02	-5.12E-02	2.03E-01	2.02E-02	4.41E-03	-1.16E-02
-2.40E-02	-6.23E-02	1.83E-01	2.01E-02	4.70E-03	-1.15E-02
-2.76E-02	-7.73E-02	1.71E-01	2.04E-02	4.64E-03	-1.17E-02
3.96E-03	-9.19E-02	1.78E-01	2.08E-02	5.09E-03	-1.15E-02
1.90E-02	-1.10E-01	1.90E-01	2.01E-02	5.41E-03	-1.11E-02
9.18E-03	-1.00E-01	2.02E-01	2.02E-02	5.47E-03	-1.16E-02
-1.28E-02	-1.16E-01	2.26E-01	2.05E-02	5.42E-03	-1.18E-02
-1.70E-03	-8.44E-02	2.19E-01	2.01E-02	5.20E-03	-1.17E-02
-4.85E-02	4.85E-02	3.03E-01	1.96E-02	4.87E-03	-1.28E-02
3.03E-02	3.61E-01	9.30E-01	-4.33E-04	3.97E-03	-1.43E-02
-1.21E-01	5.61E-02	4.01E-01	1.03E-02	3.42E-03	-1.36E-02
-9.27E-02	1.20E-01	3.72E-01	1.26E-02	4.10E-03	-1.38E-02
-4.80E-02	6.07E-02	3.43E-01	1.42E-02	4.68E-03	-1.32E-02
-7.91E-02	1.15E-02	3.75E-01	1.50E-02	4.85E-03	-1.34E-02
-1.37E-01	8.01E-02	3.62E-01	1.47E-02	4.17E-03	-1.38E-02
-1.36E-01	1.05E-01	3.45E-01	1.54E-02	3.74E-03	-1.41E-02
-1.31E-01	6.90E-02	3.28E-01	1.60E-02	4.03E-03	-1.41E-02
-1.28E-01	5.15E-02	2.93E-01	1.60E-02	4.34E-03	-1.43E-02
-1.15E-01	4.77E-02	2.91E-01	1.65E-02	4.52E-03	-1.40E-02
-1.13E-01	4.54E-02	2.53E-01	1.70E-02	4.88E-03	-1.41E-02
-1.08E-01	3.00E-02	2.46E-01	1.73E-02	4.90E-03	-1.40E-02
-9.05E-02	3.21E-02	1.46E-01	1.69E-02	5.36E-03	-1.40E-02
-2.43E-01	8.59E-02	1.34E-02	1.91E-02	4.82E-03	-1.21E-02
-1.77E-01	1.71E-01	3.91E-01	1.33E-02	3.32E-03	-1.14E-02
-1.85E-01	6.46E-02	1.82E-01	1.70E-02	2.65E-03	-1.20E-02
-1.55E-01	9.55E-02	3.28E-01	1.44E-02	4.08E-03	-1.19E-02
-1.17E-01	1.85E-02	1.20E-01	1.71E-02	4.48E-03	-1.14E-02
-8.35E-02	2.33E-02	1.69E-01	1.76E-02	4.94E-03	-1.13E-02
-6.44E-02	2.91E-02	2.02E-01	1.73E-02	4.68E-03	-1.13E-02
-7.64E-02	2.55E-02	2.17E-01	1.76E-02	4.61E-03	-1.20E-02
-3.78E-02	-7.11E-03	2.00E-01	1.69E-02	5.25E-03	-1.17E-02
-5.52E-02	6.76E-04	2.00E-01	1.70E-02	5.13E-03	-1.20E-02
-5.23E-02	2.13E-03	2.20E-01	1.74E-02	5.38E-03	-1.19E-02
-5.94E-02	1.67E-02	2.17E-01	1.77E-02	5.26E-03	-1.18E-02
-2.74E-02	7.11E-03	1.94E-01	1.76E-02	5.74E-03	-1.16E-02
-3.04E-02	9.31E-03	7.01E-02	1.70E-02	6.04E-03	-1.16E-02
-2.72E-02	1.50E-02	-2.13E-02	1.91E-02	6.18E-03	-1.13E-02
-6.21E-03	3.99E-02	-8.11E-03	1.95E-02	6.34E-03	-1.12E-02
1.01E-02	3.35E-02	-4.08E-03	1.95E-02	6.18E-03	-1.13E-02
1.44E-03	1.78E-02	2.29E-04	1.98E-02	6.42E-03	-1.12E-02
-3.42E-03	1.52E-01	-1.07E-01	1.12E-02	6.98E-03	-1.08E-02
9.96E-02	2.57E-01	-1.69E-01	1.04E-02	5.97E-03	-9.53E-03
1.14E-01	7.09E-02	7.67E-02	1.27E-02	7.94E-03	-1.02E-02
4.42E-02	5.76E-02	-4.50E-01	1.61E-02	7.74E-03	-9.42E-03
5.57E-02	1.16E-01	-5.03E-01	1.72E-02	7.83E-03	-9.79E-03
7.39E-02	8.47E-02	-5.09E-01	1.83E-02	8.08E-03	-9.81E-03
6.62E-02	1.26E-01	-4.82E-01	1.82E-02	7.65E-03	-9.85E-03
9.66E-04	1.60E-01	-4.38E-01	1.81E-02	6.75E-03	-1.06E-02
-1.46E-02	1.41E-01	-4.04E-01	1.82E-02	6.85E-03	-1.14E-02
-2.08E-02	1.55E-01	-4.30E-01	1.78E-02	6.52E-03	-1.17E-02
-2.05E-02	1.54E-01	-4.54E-01	1.86E-02	6.56E-03	-1.19E-02
1.79E-02	1.61E-01	-4.97E-01	1.90E-02	6.76E-03	-1.16E-02
-6.91E-02	-2.75E-02	5.68E-01	7.03E-03	7.28E-03	-1.15E-02
-3.19E-02	1.29E-01	2.94E-01	9.33E-03	7.20E-03	-1.13E-02
2.47E-02	1.37E-01	2.25E-01	9.36E-03	8.25E-03	-1.04E-02
3.10E-02	1.23E-01	1.46E-01	1.18E-02	7.81E-03	-1.13E-02
6.87E-02	9.63E-02	1.32E-01	1.29E-02	8.27E-03	-1.10E-02
1.41E-01	1.11E-01	-1.28E-01	1.37E-02	9.06E-03	-1.06E-02
1.52E-01	9.21E-02	-1.57E-01	1.49E-02	9.13E-03	-1.03E-02
1.51E-01	1.33E-01	-1.70E-01	1.49E-02	8.82E-03	-1.05E-02
1.54E-01	1.43E-01	-1.68E-01	1.54E-02	8.62E-03	-1.04E-02
1.60E-01	1.37E-01	-1.45E-01	1.51E-02	8.30E-03	-9.95E-03
1.26E-01	1.94E-01	-1.42E-01	1.59E-02	7.80E-03	-1.01E-02
1.48E-01	1.35E-01	-1.79E-01	1.60E-02	8.14E-03	-9.80E-03
1.50E-01	1.39E-01	-1.89E-01	1.60E-02	7.94E-03	-9.96E-03
1.73E-01	1.09E-01	-1.90E-01	1.69E-02	8.15E-03	-9.80E-03
1.72E-01	1.13E-01	-2.57E-01	1.73E-02	8.45E-03	-9.74E-03
3.31E-02	5.06E-03	-5.95E-02	1.33E-02	7.51E-03	-8.85E-03
1.73E-01	2.72E-01	-2.04E-01	1.59E-02	4.96E-03	-7.37E-03
2.17E-01	1.21E-01	-1.83E-01	1.57E-02	6.25E-03	-7.30E-03
2.84E-01	1.46E-01	-5.59E-01	1.81E-02	6.59E-03	-7.46E-03
3.14E-01	1.21E-01	-5.15E-01	1.93E-02	6.95E-03	-7.69E-03
3.35E-01	1.39E-01	-4.73E-01	1.95E-02	7.42E-03	-7.50E-03
3.65E-01	1.29E-01	-4.58E-01	1.98E-02	7.75E-03	-7.16E-03
3.62E-01	1.26E-01	-4.60E-01	1.95E-02	7.50E-03	-7.06E-03
3.67E-01	1.12E-01	-4.52E-01	1.92E-02	7.55E-03	-7.06E-03
3.91E-01	1.00E-01	-4.54E-01	1.93E-02	7.77E-03	-6.92E-03
3.75E-01	1.02E-01	-4.54E-01	2.01E-02	7.93E-03	-7.12E-03
3.87E-01	1.21E-01	-4.40E-01	2.08E-02	8.00E-03	-7.00E-03
3.97E-01	1.42E-01	-4.36E-01	1.91E-02	7.47E-03	-6.77E-03
3.87E-01	1.03E-01	-4.13E-01	1.97E-02	7.72E-03	-6.81E-03
3.47E-01	1.01E-01	-4.13E-01	1.97E-02	7.28E-03	-7.12E-03
2.66E-01	1.19E-01	-4.25E-01	2.00E-02	6.35E-03	-8.44E-03
2.78E-01	1.32E-01	-3.67E-01	2.04E-02	6.86E-03	-7.91E-03
2.98E-01	3.62E-02	4.21E-01	1.27E-02	7.29E-03	-7.75E-03
2.90E-01	1.18E-02	4.74E-01	1.34E-02	8.35E-03	-7.23E-03
2.56E-01	1.94E-02	4.17E-01	1.35E-02	8.13E-03	-7.64E-03
2.85E-01	9.46E-03	3.77E-01	1.38E-02	8.28E-03	-7.48E-03
3.16E-01	1.45E-02	3.98E-01	1.42E-02	8.25E-03	-7.18E-03
2.60E-01	1.82E-02	3.87E-01	1.45E-02	7.89E-03	-8.21E-03
2.40E-01	1.95E-02	3.18E-01	1.49E-02	7.41E-03	-8.59E-03
2.26E-01	-3.45E-03	3.04E-01	1.49E-02	7.62E-03	-8.69E-03
2.52E-01	-4.81E-02	3.20E-02	1.31E-02	8.33E-03	-8.42E-03
6.69E-02	1.31E-01	-3.19E-01	1.30E-02	7.26E-03	-9.58E-03
1.08E-01	2.35E-01	-3.03E-01	1.41E-02	7.67E-03	-9.46E-03
1.39E-01	2.44E-01	-3.46E-01	1.49E-02	8.15E-03	-9.34E-03
1.63E-01	2.27E-01	-3.51E-01	1.58E-02	8.52E-03	-9.09E-03
7.58E-02	2.19E-01	-1.02E-01	1.50E-02	7.29E-03	-9.60E-03
1.16E-01	1.17E-01	4.88E-01	8.94E-03	6.72E-03	-7.92E-03
1.39E-01	3.49E-01	5.32E-01	6.95E-03	6.92E-03	-7.63E-03
1.61E-01	2.41E-01	5.30E-01	8.00E-03	6.93E-03	-7.04E-03
1.62E-01	2.33E-01	5.14E-01	8.69E-03	7.21E-03	-7.40E-03
1.89E-01	1.36E-01	5.57E-01	8.37E-03	7.51E-03	-7.34E-03
1.67E-01	1.92E-01	3.21E-01	7.98E-03	7.40E-03	-7.29E-03
1.64E-01	2.77E-01	1.63E-01	1.08E-02	6.77E-03	-7.82E-03
1.96E-01	3.22E-01	2.00E-01	1.09E-02	7.47E-03	-7.68E-03
1.96E-01	3.12E-01	2.38E-01	1.09E-02	7.59E-03	-7.88E-03
2.26E-01	2.53E-01	2.20E-01	1.14E-02	8.14E-03	-7.62E-03
1.49E-01	1.47E-01	1.39E-01	9.56E-03	7.73E-03	-7.23E-03
7.37E-02	2.61E-01	-7.49E-02	1.17E-02	6.46E-03	-7.87E-03
1.17E-01	2.41E-01	-8.69E-02	1.25E-02	7.36E-03	-7.44E-03
1.56E-01	2.26E-01	-6.58E-02	1.34E-02	7.54E-03	-7.03E-03
2.13E-01	2.16E-01	-3.29E-02	1.36E-02	8.00E-03	-6.69E-03
3.27E-01	2.33E-01	4.20E-01	1.04E-02	7.01E-03	-7.25E-03
