x 	y	z	roll	pitch	yaw
0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
-8.80E-02	5.29E-02	4.52E-02	9.62E-04	-2.90E-04	-2.33E-03
-1.34E-01	8.30E-02	1.86E-02	1.42E-03	-6.27E-04	-3.54E-03
-1.25E-01	1.19E-01	-2.15E-03	2.13E-03	-9.64E-04	-3.61E-03
-1.23E-01	5.49E-02	2.06E-02	2.90E-03	-9.46E-04	-4.15E-03
-1.39E-01	3.39E-02	3.70E-02	3.17E-03	-1.23E-03	-4.73E-03
-1.32E-01	-4.28E-03	4.08E-02	3.94E-03	-1.07E-03	-4.91E-03
-1.26E-01	5.37E-02	6.33E-02	5.22E-03	-1.31E-03	-5.10E-03
-1.59E-01	3.25E-02	4.42E-02	5.26E-03	-1.53E-03	-5.98E-03
-1.47E-01	3.28E-03	5.62E-02	6.21E-03	-1.40E-03	-5.67E-03
-1.35E-01	1.41E-03	5.81E-02	6.81E-03	-1.17E-03	-6.11E-03
-1.10E-01	-4.63E-03	7.22E-02	7.89E-03	-8.34E-04	-6.14E-03
-1.34E-01	-5.46E-03	6.46E-02	8.22E-03	-5.77E-04	-6.17E-03
-1.07E-01	-1.22E-03	7.11E-02	8.72E-03	-3.02E-04	-6.37E-03
-1.13E-01	4.59E-03	7.14E-02	8.89E-03	-2.98E-04	-6.30E-03
-1.23E-01	4.95E-03	8.30E-02	9.35E-03	-4.22E-04	-6.63E-03
-1.31E-01	1.90E-02	9.83E-02	9.19E-03	-8.02E-04	-6.75E-03
-1.44E-01	1.66E-02	6.77E-02	9.14E-03	-5.94E-04	-7.29E-03
-1.35E-01	1.16E-02	5.92E-02	9.50E-03	-3.28E-04	-6.86E-03
-1.78E-01	2.01E-02	5.59E-02	9.95E-03	-8.81E-04	-7.23E-03
-2.07E-01	3.79E-02	3.51E-02	1.01E-02	-1.04E-03	-7.90E-03
-2.21E-01	4.28E-02	6.44E-02	1.08E-02	-9.40E-04	-8.29E-03
-1.91E-01	1.75E-04	7.82E-02	1.07E-02	-5.02E-04	-7.98E-03
-1.94E-01	-3.87E-02	9.06E-02	1.11E-02	-5.56E-04	-8.04E-03
-1.92E-01	-3.87E-02	8.32E-02	1.08E-02	-3.47E-04	-7.91E-03
-1.86E-01	-4.27E-03	5.44E-02	1.10E-02	-3.78E-04	-7.93E-03
-1.94E-01	-1.06E-03	4.21E-02	1.09E-02	-3.84E-04	-8.11E-03
-1.91E-01	6.49E-03	4.97E-02	1.14E-02	-4.33E-04	-8.03E-03
-2.01E-01	-3.02E-02	4.97E-02	1.17E-02	-3.73E-04	-8.14E-03
-2.05E-01	-1.54E-02	5.31E-02	1.15E-02	-7.62E-04	-7.97E-03
-1.91E-01	1.67E-03	6.32E-02	1.13E-02	-6.49E-04	-7.95E-03
-1.71E-01	-1.30E-02	5.06E-02	1.14E-02	-4.03E-04	-7.88E-03
-1.60E-01	-1.41E-02	3.84E-02	1.14E-02	-3.30E-04	-7.88E-03
-1.57E-01	2.12E-03	3.37E-02	1.13E-02	-3.45E-04	-7.93E-03
-1.43E-01	-1.35E-02	4.81E-02	1.13E-02	-2.40E-04	-7.77E-03
-1.42E-01	-3.04E-02	5.64E-02	1.15E-02	-2.72E-04	-7.92E-03
-1.46E-01	-1.29E-02	5.50E-02	1.17E-02	-2.20E-04	-8.21E-03
-1.24E-01	-2.56E-02	6.03E-02	1.18E-02	-1.84E-05	-8.13E-03
-9.51E-02	-3.89E-02	6.17E-02	1.20E-02	4.59E-04	-8.22E-03
-1.67E-01	-2.97E-02	1.14E-01	1.26E-02	-5.47E-05	-9.34E-03
-1.35E-01	-4.53E-02	1.16E-01	1.22E-02	4.00E-04	-9.24E-03
-1.37E-01	-1.73E-02	1.03E-01	1.21E-02	5.11E-04	-9.34E-03
-1.45E-01	-1.90E-05	7.24E-02	1.22E-02	5.08E-04	-9.44E-03
-1.28E-01	4.10E-03	5.15E-02	1.22E-02	6.64E-04	-9.34E-03
-1.38E-01	1.80E-02	4.83E-02	1.27E-02	5.94E-04	-9.32E-03
-1.22E-01	-5.89E-03	6.14E-02	1.28E-02	5.28E-04	-9.40E-03
-1.15E-01	-2.29E-02	7.99E-02	1.29E-02	5.00E-04	-9.41E-03
-1.14E-01	-2.12E-02	6.91E-02	1.29E-02	5.44E-04	-9.38E-03
-1.33E-01	-2.44E-02	6.28E-02	1.32E-02	5.13E-04	-9.77E-03
-1.33E-01	-3.58E-02	7.98E-02	1.30E-02	7.03E-04	-9.59E-03
-1.34E-01	-3.01E-02	1.11E-01	1.33E-02	6.36E-04	-9.70E-03
-1.40E-01	-2.95E-02	1.10E-01	1.33E-02	6.91E-04	-9.64E-03
-1.53E-01	-1.89E-02	1.13E-01	1.34E-02	5.55E-04	-9.97E-03
-1.46E-01	-5.11E-02	7.91E-02	1.29E-02	7.17E-04	-9.98E-03
-1.52E-01	-1.17E-02	6.68E-02	1.30E-02	7.26E-04	-1.01E-02
-1.59E-01	1.47E-03	9.68E-02	1.36E-02	6.49E-04	-1.04E-02
-1.66E-01	-3.54E-02	1.24E-01	1.36E-02	7.47E-04	-1.07E-02
-1.73E-01	-4.30E-02	1.08E-01	1.38E-02	6.00E-04	-1.10E-02
-1.85E-01	-2.23E-02	2.22E-01	1.45E-02	1.36E-04	-1.11E-02
-1.66E-01	2.33E-02	4.60E-01	7.87E-03	2.33E-04	-1.20E-02
-1.84E-01	-1.15E-02	4.18E-01	9.77E-03	-1.17E-04	-1.24E-02
-1.78E-01	1.62E-02	3.73E-01	1.04E-02	-1.46E-04	-1.26E-02
-1.17E-01	4.80E-04	4.00E-01	1.06E-02	7.08E-04	-1.24E-02
-1.46E-01	1.20E-03	4.31E-01	1.07E-02	4.17E-04	-1.27E-02
-1.23E-01	-1.92E-02	4.16E-01	1.07E-02	7.46E-04	-1.25E-02
-1.23E-01	-1.24E-02	3.85E-01	1.13E-02	7.94E-04	-1.28E-02
-9.89E-02	-2.20E-02	3.82E-01	1.11E-02	1.04E-03	-1.28E-02
-8.22E-02	-4.34E-02	3.90E-01	1.21E-02	1.42E-03	-1.24E-02
-1.13E-01	-4.09E-02	3.57E-01	1.20E-02	1.59E-03	-1.25E-02
-1.06E-01	-3.57E-02	3.86E-01	1.21E-02	1.41E-03	-1.26E-02
-6.25E-02	-5.12E-02	4.07E-01	1.17E-02	1.83E-03	-1.23E-02
-8.03E-02	-6.98E-02	4.16E-01	1.23E-02	1.53E-03	-1.24E-02
-7.82E-02	-6.02E-02	4.28E-01	1.24E-02	1.40E-03	-1.24E-02
-7.95E-02	-7.10E-02	4.07E-01	1.22E-02	1.53E-03	-1.25E-02
